Features,NumFeatures,MeanAccuracy,MeanLogLoss,MeanBrier
EloDiff + AwayPointsLast5 + XGDDiffLast5,3,0.5355263157894736,0.9782675332091897,0.19431095453408442
EloDiff + HomeShotsOnTargetLast5 + XGDDiff,3,0.5263513513513514,0.9794967281216165,0.1948677155811196
EloDiff + AwayGoalsLast5 + XGDDiffLast5,3,0.5414473684210527,0.9795916432559697,0.19459534177672783
EloDiff + HomePointsLast5 + XGDDiff,3,0.5310810810810811,0.9796039206042875,0.1949161783308372
EloDiff + AwayPointsLast5 + XGDDiff,3,0.5297297297297298,0.9797333489462801,0.1949567682760475
EloDiff + HomePointsLast5 + XGDDiffLast5,3,0.5394736842105263,0.9798259611324188,0.19466713594908264
EloDiff + AwayElo + XGDDiffLast5,3,0.5407894736842106,0.9798412557904554,0.19450734585608587
HomeElo + AwayElo + XGDDiffLast5,3,0.5407894736842106,0.9798413167372035,0.19450735815019146
EloDiff + HomeElo + XGDDiffLast5,3,0.5407894736842106,0.9798413233779375,0.19450736004943742
EloDiff + HomeGDPerGame + XGDDiffLast5,3,0.5407894736842106,0.9800642048477122,0.194685025877845
EloDiff + HomeShotsOnTargetLast5 + XGDDiffLast5,3,0.5388157894736842,0.9800644149239046,0.19477334327445084
EloDiff + HomeShotsOnTargetLast5 + XGAgainstDiffLast5,3,0.5348684210526315,0.980198054259279,0.19481312638801662
EloDiff + ShotOTDiffLast5 + HomeShotsAgainstLast5,3,0.5447368421052632,0.9802223564527723,0.19474160327201478
EloDiff + HomePPG + XGDDiffLast5,3,0.5348684210526317,0.9802394828332665,0.19472127651691187
EloDiff + PPGDiff + XGDDiffLast5,3,0.5388157894736842,0.9802901387983045,0.19484738548308211
EloDiff + HomeElo + XGDDiff,3,0.5344594594594594,0.9803047877497141,0.19493299755081356
EloDiff + AwayElo + XGDDiff,3,0.5344594594594594,0.9803048403657166,0.1949330088368626
EloDiff + HomeShotsOnTargetAgainstLast5 + XGDDiff,3,0.5351351351351351,0.9803061870525254,0.1949672462414906
HomeElo + AwayElo + XGDDiff,3,0.5344594594594594,0.9803185390083501,0.19493476206381105
EloDiff + ShotDiffLast5 + HomeShotsAgainstLast5,3,0.5421052631578948,0.9803999322645232,0.19472786136168452
EloDiff + HomeShotsAgainstLast5 + XGDDiff,3,0.5324324324324323,0.9804008581719664,0.1950666097334589
EloDiff + HomeShotsOnTargetAgainstLast5 + XGDDiffLast5,3,0.5388157894736842,0.9804087657953345,0.19479991987420725
EloDiff + ShotDiffLast5 + XGAgainstDiffLast5,3,0.5381578947368422,0.980464231689758,0.1947915474280122
EloDiff + GoalDiffLast5 + XGDDiffLast5,3,0.5361842105263158,0.9805769542001799,0.19480346243107202
EloDiff + XGDDiffLast5,2,0.5381578947368421,0.9806607911864809,0.1948992495625949
EloDiff + AwayGoalsLast5 + XGDDiff,3,0.5304054054054055,0.9806986283429547,0.19515281898938966
EloDiff + ShotOTDiffLast5 + XGAgainstDiffLast5,3,0.5407894736842105,0.9807049638498739,0.1949105415910979
EloDiff + HomeShotsAgainstLast5 + HomeShotsOnTargetLast5,3,0.5388157894736842,0.9807102596940682,0.1948796937468269
EloDiff + HomeShotsAgainstLast5 + XGDDiffLast5,3,0.5401315789473684,0.9807525357725997,0.19490924012522448
EloDiff + HomeGoalsPerGame + XGDDiffLast5,3,0.5407894736842105,0.980767978474945,0.19480139849335124
EloDiff + XGDDiff + XGDDiffLast5,3,0.5378378378378379,0.9807916804793146,0.19509710018823062
EloDiff + GoalsPerGameDiff + XGDDiffLast5,3,0.5401315789473684,0.9807997008427668,0.19497136205918075
EloDiff + HomeGoalsLast5 + XGDDiffLast5,3,0.5407894736842106,0.9808052573627724,0.19490617196980756
EloDiff + ShotOTDiffLast5 + XGDDiffLast5,3,0.5355263157894737,0.9808214239152606,0.19493207467241883
EloDiff + ShotDiffLast5 + HomeShotsOnTargetAgainstLast5,3,0.5375000000000001,0.9808663504421777,0.19477383229436726
EloDiff + AwayShotsOnTargetLast5 + XGDDiffLast5,3,0.5401315789473684,0.9808665278517911,0.19494995947384006
EloDiff + ShotDiffLast5 + HomePointsLast5,3,0.5302631578947368,0.9808684406562268,0.19484484692793086
EloDiff + ShotOTDiffLast5 + HomeShotsOnTargetAgainstLast5,3,0.5434210526315789,0.9808691316046194,0.1948432502252078
EloDiff + HomeGoalsLast5 + XGDDiff,3,0.5297297297297296,0.9808924620537565,0.195231811859699
EloDiff + GDPerGameDiff + XGDDiffLast5,3,0.5375,0.9809091922615205,0.1949839095632045
EloDiff + HomePPG + XGDDiff,3,0.5304054054054054,0.9809351082483478,0.19514088588295517
EloDiff + XGDDiff + XGAgainstDiffLast5,3,0.5344594594594594,0.9809542022538,0.19514044191946647
EloDiff + AwayShotsOnTargetLast5 + XGDDiff,3,0.5324324324324324,0.9809950646503371,0.1952507884888717
EloDiff + XGDDiff,2,0.5310810810810811,0.9810321217747305,0.1952451702769538
EloDiff + ShotDiffLast5 + XGDDiffLast5,3,0.5394736842105263,0.9810449591408084,0.19495842527633006
EloDiff + AwayGDPerGame + XGDDiff,3,0.5283783783783783,0.9811076232915699,0.19522476086720192
EloDiff + ShotOTDiffLast5 + XGDDiff,3,0.5337837837837838,0.9811642803065526,0.19521849102421795
EloDiff + HomeGDPerGame + XGDDiff,3,0.5331081081081082,0.9811643782294655,0.19522729826881324
EloDiff + AwayPPG + XGDDiff,3,0.5304054054054054,0.9811713245750016,0.19520211460649928
EloDiff + HomeGoalsPerGame + XGDDiff,3,0.5283783783783784,0.9811997810271075,0.19520304200662605
EloDiff + HomeShotsOnTargetLast5 + XGAgainstDiffPg,3,0.527027027027027,0.9812041654365884,0.19522509216040582
