Model,Features,NumFeatures,MeanAccuracy,WeightedAccuracy,MeanLogLoss,Brier_A,Brier_D,Brier_H,TotalGames,AccuracyChange,LogLossChange
BASELINE + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayAwayGoalsAgainstLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayAwayGoalsAgainstLast5,7,0.5335526315789474,0.5335526315789474,0.9854309077019066,0.1907979530127239,0.18335536163134708,0.2139581853787556,1520,-0.007236842105263097,-0.0050357097244506654
BASELINE + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayElo + HomeElo + AwayAwayGoalsAgainstLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayElo + HomeElo + AwayAwayGoalsAgainstLast5,9,0.5322368421052632,0.5322368421052631,0.9854789516913074,0.1908265724186088,0.18347229413254887,0.21387838842485662,1520,-0.008552631578947256,-0.004987665735049829
BASELINE + HomeShotsAgainstLast5 + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsAgainstLast5 + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5,7,0.5309210526315788,0.530921052631579,0.9855481853056075,0.19098234947247628,0.18344390720314707,0.21347600251862253,1520,-0.009868421052631637,-0.004918432120749716
BASELINE + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayElo + AwayAwayGoalsAgainstLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayElo + AwayAwayGoalsAgainstLast5,8,0.5328947368421053,0.5328947368421053,0.9855497281708486,0.19083447139425522,0.1834947171472668,0.21388852272917494,1520,-0.007894736842105177,-0.004916889255508594
BASELINE + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayElo + AwayAwayGoalsAgainstLast5 + GoalDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayElo + AwayAwayGoalsAgainstLast5 + GoalDiffLast5,9,0.5322368421052631,0.5322368421052631,0.9855581529977151,0.19097767681279262,0.18336629425171952,0.21388212549887314,1520,-0.008552631578947367,-0.004908464428642123
BASELINE + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayAwayGoalsAgainstLast5 + GoalDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayAwayGoalsAgainstLast5 + GoalDiffLast5,8,0.5328947368421053,0.5328947368421053,0.9855588473156423,0.1909628729444478,0.183265139355578,0.2139777932988045,1520,-0.007894736842105177,-0.004907770110714971
BASELINE + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + HomeElo + AwayAwayGoalsAgainstLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + HomeElo + AwayAwayGoalsAgainstLast5,8,0.531578947368421,0.531578947368421,0.9855688333942552,0.19081807101125375,0.18348995665628517,0.21390708399478442,1520,-0.009210526315789447,-0.004897784032102059
BASELINE + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + HomeElo + AwayAwayGoalsAgainstLast5 + GoalDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + HomeElo + AwayAwayGoalsAgainstLast5 + GoalDiffLast5,9,0.5322368421052632,0.5322368421052631,0.985601244044824,0.19100118467029675,0.18336082752766855,0.21387481941572828,1520,-0.008552631578947256,-0.004865373381533256
BASELINE + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayAwayGoalsAgainstLast5 + AwayAwayGoalsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayPointsLast5 + GDPerGameDiff + AwayAwayPointsLast5 + AwayAwayGoalsAgainstLast5 + AwayAwayGoalsLast5,8,0.5335526315789474,0.5335526315789474,0.9857069501554063,0.1908517856660679,0.1833447649759728,0.21394811189486682,1520,-0.007236842105263097,-0.004759667270950896
BASELINE + HomeShotsAgainstLast5 + AwayPointsLast5 + AwayAwayPointsLast5 + GoalsPerGameDiff + AwayGoalsAgainstPerGame,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsAgainstLast5 + AwayPointsLast5 + AwayAwayPointsLast5 + GoalsPerGameDiff + AwayGoalsAgainstPerGame,8,0.5282894736842105,0.5282894736842105,0.9857388651310108,0.19131290985275456,0.1835210259521519,0.2131612191624389,1520,-0.012499999999999956,-0.004727752295346388
