Features,NumFeatures,AddedFeatures,Accuracy,AccuracyChange,LogLoss,LogLossChange
EloDiff + XGDDiffLast5 + GoalsPerGameDiff,3,NONE,0.5430379746835443,0.0,0.9780222646062077,0.0
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5,4,GoalDiffLast5,0.5424050632911392,-0.0006329113924050667,0.9788331002338634,0.0008108356276557149
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5,4,HomePointsLast5,0.5462025316455696,0.0031645569620253333,0.9788225956006013,0.0008003309943935832
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5,4,AwayPointsLast5,0.5386075949367088,-0.004430379746835467,0.9758202632591972,-0.0022020013470104294
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetLast5,4,HomeShotsOnTargetLast5,0.539873417721519,-0.0031645569620253333,0.9791278019527088,0.0011055373465010954
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayGoalsLast5,4,AwayGoalsLast5,0.5436708860759494,0.0006329113924050667,0.9779530144869218,-6.925011928582414e-05
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPPG,4,AwayPPG,0.5424050632911392,-0.0006329113924050667,0.9790356430227929,0.00101337841658522
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetAgainstLast5,4,HomeShotsOnTargetAgainstLast5,0.5443037974683544,0.0012658227848101333,0.978956381493268,0.0009341168870603545
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayGDPerGame,4,AwayGDPerGame,0.5411392405063291,-0.0018987341772152,0.9803532823587326,0.0023310177525249776
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5,5,GoalDiffLast5 + HomePointsLast5,0.5443037974683544,0.0012658227848101333,0.9793145533155603,0.001292288709352607
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayPointsLast5,5,GoalDiffLast5 + AwayPointsLast5,0.5417721518987342,-0.0012658227848101333,0.977027296661553,-0.000994967944654701
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomeShotsOnTargetLast5,5,GoalDiffLast5 + HomeShotsOnTargetLast5,0.5386075949367088,-0.004430379746835467,0.9792903494357045,0.0012680848294968072
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayGoalsLast5,5,GoalDiffLast5 + AwayGoalsLast5,0.5411392405063291,-0.0018987341772152,0.9792687617141052,0.0012464971078974818
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayPPG,5,GoalDiffLast5 + AwayPPG,0.5449367088607595,0.0018987341772152,0.9797756910503587,0.0017534264441509961
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomeShotsOnTargetAgainstLast5,5,GoalDiffLast5 + HomeShotsOnTargetAgainstLast5,0.5436708860759494,0.0006329113924050667,0.9798524162658951,0.0018301516596874734
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayGDPerGame,5,GoalDiffLast5 + AwayGDPerGame,0.5430379746835443,0.0,0.9809615190101312,0.002939254403923508
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayPointsLast5,5,HomePointsLast5 + AwayPointsLast5,0.5379746835443038,-0.005063291139240533,0.9773532306883321,-0.0006690339178755389
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + HomeShotsOnTargetLast5,5,HomePointsLast5 + HomeShotsOnTargetLast5,0.5417721518987342,-0.0012658227848101333,0.9784957726724505,0.0004735080662428004
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayGoalsLast5,5,HomePointsLast5 + AwayGoalsLast5,0.5443037974683544,0.0012658227848101333,0.9787874067257618,0.0007651421195541408
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayPPG,5,HomePointsLast5 + AwayPPG,0.5436708860759494,0.0006329113924050667,0.9797946432758856,0.001772378669677943
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + HomeShotsOnTargetAgainstLast5,5,HomePointsLast5 + HomeShotsOnTargetAgainstLast5,0.5449367088607595,0.0018987341772152,0.9792678564516961,0.0012455918454884474
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayGDPerGame,5,HomePointsLast5 + AwayGDPerGame,0.5411392405063291,-0.0018987341772152,0.980091991274012,0.0020697266678043613
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + HomeShotsOnTargetLast5,5,AwayPointsLast5 + HomeShotsOnTargetLast5,0.5436708860759494,0.0006329113924050667,0.9779018927210952,-0.0001203718851124913
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + AwayGoalsLast5,5,AwayPointsLast5 + AwayGoalsLast5,0.5411392405063291,-0.0018987341772152,0.9775267169936919,-0.0004955476125158009
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + AwayPPG,5,AwayPointsLast5 + AwayPPG,0.5348101265822784,-0.008227848101265867,0.9770314022504805,-0.0009908623557272067
