AddedFeature,Features,NumFeatures,Accuracy,LogLoss,Brier,AccuracyChange,LogLossChange,BrierChange
NONE,EloDiff + XGDDiffLast5 + GoalsPerGameDiff,3,0.5385964912280702,0.9884989241472559,0.5893816943223269,0.0,0.0,0.0
AwayPointsLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5,4,0.5333333333333333,0.9859852365282268,0.5873375817499779,-0.0052631578947368585,-0.002513687619029148,-0.002044112572349044
HomePointsLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5,4,0.5394736842105263,0.9871476610636304,0.588318889935295,0.0008771929824561431,-0.0013512630836255424,-0.0010628043870318793
AwayGoalsLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayGoalsLast5,4,0.537719298245614,0.9867958115797101,0.588099135878555,-0.0008771929824561431,-0.0017031125675458503,-0.0012825584437718973
HomeGoalsLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeGoalsLast5,4,0.537719298245614,0.9885546375667644,0.5893780711430618,-0.0008771929824561431,5.571341950849629e-05,-3.6231792650553984e-06
AwayGDPerGame,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayGDPerGame,4,0.5385964912280702,0.9886933744156391,0.5885478835739216,0.0,0.0001944502683831617,-0.0008338107484052726
HomeGDPerGame,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeGDPerGame,4,0.5263157894736842,0.9887184087030423,0.589129956497318,-0.012280701754386003,0.0002194845557863534,-0.00025173782500886865
GDPerGameDiff,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GDPerGameDiff,4,0.5359649122807018,0.9929458829503035,0.5922814908470346,-0.0026315789473684292,0.004446958803047574,0.0028997965247077317
PPGDiff,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + PPGDiff,4,0.5368421052631579,0.9895334118212745,0.5902335942073107,-0.0017543859649122862,0.0010344876740185915,0.0008518998849837978
GoalsAgainstPerGameDiff,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalsAgainstPerGameDiff,4,0.5350877192982456,0.9932761753220845,0.5924869542587388,-0.0035087719298245723,0.004777251174828523,0.003105259936411864
GoalDiffLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5,4,0.5412280701754386,0.9890523570149434,0.5896959842880554,0.0026315789473684292,0.0005534328676874978,0.0003142899657284648
GoalAgainstDiffLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalAgainstDiffLast5,4,0.5271929824561403,0.9926235855182105,0.5916983788140453,-0.01140350877192986,0.004124661370954574,0.0023166844917184015
ShotDiffLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + ShotDiffLast5,4,0.5342105263157895,0.9900034520339623,0.5906805739058999,-0.004385964912280715,0.0015045278867064082,0.0012988795835729983
ShotOTDiffLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + ShotOTDiffLast5,4,0.531578947368421,0.9885691655287318,0.5893331543827045,-0.007017543859649145,7.024138147582182e-05,-4.8539939622394e-05
HomeShotsOnTargetLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetLast5,4,0.5368421052631579,0.987435669609415,0.5887474558384534,-0.0017543859649122862,-0.001063254537840952,-0.0006342384838734505
AwayShotsOnTargetLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayShotsOnTargetLast5,4,0.5350877192982456,0.988435515189683,0.5894725064498164,-0.0035087719298245723,-6.34089575729524e-05,9.081212748951462e-05
HomeShotsAgainstLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsAgainstLast5,4,0.5342105263157895,0.9895264982215135,0.5898690938242382,-0.004385964912280715,0.0010275740742575756,0.0004873995019113453
AwayShotsAgainstLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayShotsAgainstLast5,4,0.537719298245614,0.9905990680859097,0.5910112567783746,-0.0008771929824561431,0.0021001439386537646,0.0016295624560477284
HomeShotsOnTargetAgainstLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetAgainstLast5,4,0.537719298245614,0.9888882043656652,0.5897059330111017,-0.0008771929824561431,0.000389280218409227,0.0003242386887748472
AwayShotsOnTargetAgainstLast5,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayShotsOnTargetAgainstLast5,4,0.5324561403508772,0.9919979160017822,0.5916139500071204,-0.0061403508771930015,0.00349899185452629,0.0022322556847934605
HomePPG,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePPG,4,0.5324561403508772,0.9884238988174103,0.5887080292640886,-0.0061403508771930015,-7.502532984560162e-05,-0.000673665058238293
AwayPPG,EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPPG,4,0.537719298245614,0.9884141955308176,0.5887007537047949,-0.0008771929824561431,-8.47286164383787e-05,-0.0006809406175319888
