Model,Season,Accuracy,LogLoss,Brier
CORE,23-24,0.5789473684210527,0.9390594847092806,0.552075633711121
CORE,24-25,0.5368421052631579,0.9960846689202116,0.5967320376887103
CORE,25-26,0.5,1.0303526188122756,0.6193374115671493
CORE + AwayPointsLast5,23-24,0.5789473684210527,0.9365436033225358,0.5501207512045668
CORE + AwayPointsLast5,24-25,0.5263157894736842,0.9930156863685615,0.5946213941542233
CORE + AwayPointsLast5,25-26,0.49473684210526314,1.0283964198935833,0.6172705998911433
CORE + HomePointsLast5,23-24,0.5842105263157895,0.937493959027201,0.5509143226983882
CORE + HomePointsLast5,24-25,0.531578947368421,0.9966078808260178,0.5963907777638284
CORE + HomePointsLast5,25-26,0.5026315789473684,1.0273411433376725,0.6176515693436684
CORE + AwayGoalsLast5,23-24,0.5789473684210527,0.9387854781014269,0.551639265898172
CORE + AwayGoalsLast5,24-25,0.5342105263157895,0.9932039405536299,0.5946100193731245
CORE + AwayGoalsLast5,25-26,0.5,1.0283980160840733,0.6180481223643686
CORE + HomeGoalsLast5,23-24,0.5789473684210527,0.9390718777423845,0.5522259472033428
CORE + HomeGoalsLast5,24-25,0.5289473684210526,0.9970024742210528,0.5968593912145607
CORE + HomeGoalsLast5,25-26,0.5052631578947369,1.029589560736856,0.6190488750112823
CORE + AwayGDPerGame,23-24,0.5868421052631579,0.9375883220903498,0.550363665807555
CORE + AwayGDPerGame,24-25,0.5289473684210526,0.9954614308444413,0.5952396835244459
CORE + AwayGDPerGame,25-26,0.5,1.0330303703121264,0.6200403013897641
CORE + HomeGDPerGame,23-24,0.5684210526315789,0.9391348147969295,0.5522091400853425
CORE + HomeGDPerGame,24-25,0.5263157894736842,0.9931072687163696,0.5941889618256471
CORE + HomeGDPerGame,25-26,0.4842105263157895,1.0339131425958281,0.6209917675809644
CORE + GDPerGameDiff,23-24,0.5789473684210527,0.9505270010861457,0.5597692162041685
CORE + GDPerGameDiff,24-25,0.5368421052631579,0.9977643962463123,0.5975025150958874
CORE + GDPerGameDiff,25-26,0.4921052631578947,1.0305462515184522,0.6195727412410481
CORE + PPGDiff,23-24,0.5789473684210527,0.9422744854248807,0.5546481721267978
CORE + PPGDiff,24-25,0.5368421052631579,0.9961301538646743,0.5966894137153586
CORE + PPGDiff,25-26,0.49473684210526314,1.0301955961742686,0.6193631967797759
CORE + GoalsAgainstPerGameDiff,23-24,0.5763157894736842,0.9513802428656332,0.5603189037929205
CORE + GoalsAgainstPerGameDiff,24-25,0.5368421052631579,0.9978806959475289,0.5975511556587597
CORE + GoalsAgainstPerGameDiff,25-26,0.4921052631578947,1.030567587153091,0.619590803324536
CORE + GoalDiffLast5,23-24,0.5842105263157895,0.9436237924530043,0.5551558456346151
CORE + GoalDiffLast5,24-25,0.531578947368421,0.9949821962963957,0.5959381652416916
CORE + GoalDiffLast5,25-26,0.5078947368421053,1.0285510822954305,0.6179939419878593
CORE + GoalAgainstDiffLast5,23-24,0.55,0.949867492488293,0.5584267246381207
CORE + GoalAgainstDiffLast5,24-25,0.5342105263157895,0.9964962607485413,0.5968896911765703
CORE + GoalAgainstDiffLast5,25-26,0.49736842105263157,1.0315070033177975,0.6197787206274449
CORE + ShotDiffLast5,23-24,0.5684210526315789,0.9454943041090177,0.5568378989007884
CORE + ShotDiffLast5,24-25,0.5342105263157895,0.9951616248637417,0.596301064745119
CORE + ShotDiffLast5,25-26,0.5,1.0293544271291277,0.6189027580717922
CORE + ShotOTDiffLast5,23-24,0.5710526315789474,0.9373291739586879,0.5507221853974055
CORE + ShotOTDiffLast5,24-25,0.5289473684210526,0.9971859815495846,0.59695350702356
CORE + ShotOTDiffLast5,25-26,0.49473684210526314,1.0311923410779233,0.620323770727148
CORE + HomeShotsOnTargetLast5,23-24,0.5789473684210527,0.9377416446668185,0.550917276305115
CORE + HomeShotsOnTargetLast5,24-25,0.531578947368421,0.9959105087601943,0.5966652796403432
CORE + HomeShotsOnTargetLast5,25-26,0.5,1.0286548554012318,0.6186598115699025
CORE + AwayShotsOnTargetLast5,23-24,0.5657894736842105,0.9386515155544891,0.5519973173726164
CORE + AwayShotsOnTargetLast5,24-25,0.5342105263157895,0.9969503402679247,0.597509831748809
CORE + AwayShotsOnTargetLast5,25-26,0.5052631578947369,1.0297046897466355,0.6189103702280239
CORE + HomeShotsAgainstLast5,23-24,0.5736842105263158,0.9399201527359262,0.5529186750951407
CORE + HomeShotsAgainstLast5,24-25,0.5263157894736842,0.9982431521823685,0.5978756560919679
CORE + HomeShotsAgainstLast5,25-26,0.5026315789473684,1.0304161897462463,0.618812950285606
CORE + AwayShotsAgainstLast5,23-24,0.5710526315789474,0.9428346234264686,0.5548884261518927
CORE + AwayShotsAgainstLast5,24-25,0.5394736842105263,0.9986931541740537,0.5988738242328473
CORE + AwayShotsAgainstLast5,25-26,0.5026315789473684,1.0302694266572063,0.6192715199503837
CORE + HomeShotsOnTargetAgainstLast5,23-24,0.5815789473684211,0.9355366488111926,0.5508098919427318
CORE + HomeShotsOnTargetAgainstLast5,24-25,0.5236842105263158,1.0002831620911776,0.5991020489655438
CORE + HomeShotsOnTargetAgainstLast5,25-26,0.5078947368421053,1.0308448021946255,0.61920585812503
CORE + AwayShotsOnTargetAgainstLast5,23-24,0.5657894736842105,0.9491417737151383,0.5584863500668795
CORE + AwayShotsOnTargetAgainstLast5,24-25,0.5342105263157895,0.9967871871849112,0.5971993973621611
CORE + AwayShotsOnTargetAgainstLast5,25-26,0.49736842105263157,1.030064787105297,0.6191561025923203
CORE + HomePPG,23-24,0.5842105263157895,0.9384150616243081,0.5513714951179993
CORE + HomePPG,24-25,0.5289473684210526,0.9922240772245913,0.5936429703863818
CORE + HomePPG,25-26,0.4842105263157895,1.0346325576033315,0.6211096222878847
CORE + AwayPPG,23-24,0.5868421052631579,0.938168042541978,0.55130907460862
CORE + AwayPPG,24-25,0.5342105263157895,0.9938442620219755,0.5947276606424721
CORE + AwayPPG,25-26,0.4921052631578947,1.0332302820284993,0.6200655258632926
