Model,Season,Accuracy,LogLoss,Brier,Matches
EloDiff only,22-23,0.5526315789473685,0.9979078947230313,0.5911090185886653,380
EloDiff only,23-24,0.5605263157894737,0.9403566603986615,0.5550983153611635,380
EloDiff only,24-25,0.5368421052631579,0.9971205939189329,0.597238440531905,380
EloDiff only,25-26,0.4842105263157895,1.0326734452589468,0.6224930063493668,380
AwayElo only,22-23,0.5,1.0565569184544237,0.6362934320057191,380
AwayElo only,23-24,0.5210526315789473,1.0135490385200838,0.6069848511250481,380
AwayElo only,24-25,0.4421052631578947,1.0583512026866133,0.6401964703177534,380
AwayElo only,25-26,0.44473684210526315,1.0627993196798315,0.6417387242275638,380
HomeElo only,22-23,0.49736842105263157,0.9979644537916003,0.5953910383662764,380
HomeElo only,23-24,0.5184210526315789,0.984789109819769,0.586672480489622,380
HomeElo only,24-25,0.49736842105263157,1.0259490683765307,0.6137067593198633,380
HomeElo only,25-26,0.4710526315789474,1.0631066362729613,0.6392352171766028,380
EloDiff + XGD + Goals,22-23,0.5605263157894737,0.9790119024998234,0.5845258124950367,380
EloDiff + XGD + Goals,23-24,0.5789473684210527,0.9309329710132992,0.5471300977102035,380
EloDiff + XGD + Goals,24-25,0.5368421052631579,0.9914494210456655,0.5941012080645334,380
EloDiff + XGD + Goals,25-26,0.5026315789473684,1.0317866114872343,0.6200970805003064,380
AwayElo + XGD + Goals,22-23,0.5342105263157895,0.9918152299140424,0.5947051513018276,380
AwayElo + XGD + Goals,23-24,0.5710526315789474,0.9571136830899536,0.5661945788458408,380
AwayElo + XGD + Goals,24-25,0.5236842105263158,1.0152797651648275,0.610026466228936,380
AwayElo + XGD + Goals,25-26,0.4842105263157895,1.0451199039047572,0.6280792320524847,380
HomeElo + XGD + Goals,22-23,0.5342105263157895,0.9707918792378977,0.5803802656860841,380
HomeElo + XGD + Goals,23-24,0.5815789473684211,0.9409592949354236,0.5545769717044365,380
HomeElo + XGD + Goals,24-25,0.5078947368421053,0.9978691674076009,0.5962908210924395,380
HomeElo + XGD + Goals,25-26,0.5,1.0450242880794152,0.6262715124870094,380
EloDiff + AwayElo + XGD + Goals,22-23,0.5578947368421052,0.976309031377004,0.5828152763319082,380
EloDiff + AwayElo + XGD + Goals,23-24,0.5868421052631579,0.9273002329219322,0.5442569946022221,380
EloDiff + AwayElo + XGD + Goals,24-25,0.5447368421052632,0.9897019552862422,0.5913741121190129,380
EloDiff + AwayElo + XGD + Goals,25-26,0.49473684210526314,1.0349833500606525,0.6208297307059578,380
EloDiff + HomeElo + XGD + Goals,22-23,0.5526315789473685,0.9757616182382377,0.5824345079478106,380
EloDiff + HomeElo + XGD + Goals,23-24,0.5894736842105263,0.927258878446373,0.5442031405542966,380
EloDiff + HomeElo + XGD + Goals,24-25,0.5447368421052632,0.989715774944923,0.5913280786907971,380
EloDiff + HomeElo + XGD + Goals,25-26,0.49473684210526314,1.0351807634619723,0.6209259237623922,380
