Feature,22-23,23-24,24-25,25-26,MeanAccuracy
EloDiff,0.5526315789473685,0.5578947368421052,0.5368421052631579,0.4842105263157895,0.5328947368421053
EloDiffFeature,0.5526315789473685,0.5578947368421052,0.5368421052631579,0.4842105263157895,0.5328947368421053
PPGDiff,0.5342105263157895,0.5552631578947368,0.5342105263157895,0.4789473684210526,0.5256578947368421
GDPerGameDiff,0.5184210526315789,0.5763157894736842,0.5052631578947369,0.48947368421052634,0.5223684210526316
GoalsPerGameDiff,0.5236842105263158,0.55,0.48157894736842105,0.4868421052631579,0.5105263157894737
GoalsAgainstPerGameDiff,0.5131578947368421,0.55,0.5,0.4710526315789474,0.5085526315789475
HomeAwayShotsDiff,0.5131578947368421,0.5447368421052632,0.5,0.45526315789473687,0.5032894736842105
ShotDiffLast5,0.5131578947368421,0.5447368421052632,0.5,0.45526315789473687,0.5032894736842105
HomeElo,0.49736842105263157,0.5184210526315789,0.49736842105263157,0.4710526315789474,0.49605263157894736
HomeAwayPointsDiffLast5,0.5131578947368421,0.5263157894736842,0.4842105263157895,0.4473684210526316,0.49276315789473685
HomeAwayPPGDiff,0.5131578947368421,0.5263157894736842,0.4842105263157895,0.4473684210526316,0.49276315789473685
PointsDiffLast5,0.5026315789473684,0.5342105263157895,0.4921052631578947,0.4368421052631579,0.4914473684210526
HomeGoalsAgainstPerGame,0.5078947368421053,0.5105263157894737,0.48157894736842105,0.4605263157894737,0.4901315789473685
HomeGDPerGame,0.4842105263157895,0.5263157894736842,0.4921052631578947,0.45526315789473687,0.4894736842105263
HomeAwayShotsOTDiff,0.5236842105263158,0.5263157894736842,0.4710526315789474,0.42894736842105263,0.48749999999999993
ShotOTDiffLast5,0.5236842105263158,0.5263157894736842,0.4710526315789474,0.42894736842105263,0.48749999999999993
HomePPG,0.47368421052631576,0.5263157894736842,0.5026315789473684,0.43157894736842106,0.48355263157894735
GoalDiffLast5,0.5,0.5105263157894737,0.4605263157894737,0.45526315789473687,0.48157894736842105
HomeAwayGoalsDiff,0.5026315789473684,0.5,0.4710526315789474,0.44473684210526315,0.4796052631578947
HomeAwayGoalsDiffLast5,0.5026315789473684,0.5,0.4710526315789474,0.44473684210526315,0.4796052631578947
AwayElo,0.5,0.5236842105263158,0.4421052631578947,0.44473684210526315,0.4776315789473684
AwayGDPerGame,0.5,0.5184210526315789,0.42894736842105263,0.4605263157894737,0.47697368421052627
HomeHomePointsLast5,0.4710526315789474,0.4921052631578947,0.4842105263157895,0.4473684210526316,0.4736842105263158
GoalAgainstDiffLast5,0.46842105263157896,0.5157894736842106,0.4710526315789474,0.4342105263157895,0.47236842105263155
HomeAwayGoalsAgainstDiff,0.4631578947368421,0.4921052631578947,0.48947368421052634,0.4421052631578947,0.47171052631578947
HomeAwayGoalsAgainstDiffLast5,0.4631578947368421,0.4921052631578947,0.48947368421052634,0.4421052631578947,0.47171052631578947
HomePointsLast5,0.4789473684210526,0.4868421052631579,0.4842105263157895,0.42894736842105263,0.4697368421052631
AwayPPG,0.48947368421052634,0.5236842105263158,0.42105263157894735,0.44473684210526315,0.4697368421052631
HomeShotsOnTargetLast5,0.46842105263157896,0.49473684210526314,0.46578947368421053,0.4473684210526316,0.4690789473684211
HomeShotsAgainstLast5,0.4921052631578947,0.47368421052631576,0.4789473684210526,0.43157894736842106,0.46907894736842104
AwayShotsOnTargetAgainstLast5,0.4921052631578947,0.4842105263157895,0.43157894736842106,0.4631578947368421,0.4677631578947369
AwayGoalsPerGame,0.4921052631578947,0.5184210526315789,0.4052631578947368,0.44473684210526315,0.4651315789473684
HomeGoalsAgainstLast5,0.4789473684210526,0.4763157894736842,0.45526315789473687,0.4473684210526316,0.4644736842105263
HomeGoalsPerGame,0.4868421052631579,0.48947368421052634,0.4605263157894737,0.4105263157894737,0.4618421052631579
HomeShotsOnTargetAgainstLast5,0.4631578947368421,0.49473684210526314,0.4605263157894737,0.4263157894736842,0.4611842105263158
HomeShotsForLast5,0.4763157894736842,0.46578947368421053,0.45,0.45,0.4605263157894737
AwayAwayGoalsLast5,0.49473684210526314,0.4842105263157895,0.4394736842105263,0.4236842105263158,0.4605263157894737
HomeHomeGoalsAgainstLast5,0.4710526315789474,0.45789473684210524,0.4631578947368421,0.44473684210526315,0.45921052631578946
AwayShotsOnTargetLast5,0.5026315789473684,0.4842105263157895,0.4236842105263158,0.4236842105263158,0.4585526315789473
HomeGoalsLast5,0.4842105263157895,0.4842105263157895,0.4394736842105263,0.4236842105263158,0.45789473684210524
AwayShotsAgainstLast5,0.48947368421052634,0.4921052631578947,0.43157894736842106,0.4131578947368421,0.4565789473684211
AwayPointsLast5,0.4789473684210526,0.4842105263157895,0.45263157894736844,0.40789473684210525,0.45592105263157895
HomeHomeGoalsLast5,0.48157894736842105,0.47368421052631576,0.45,0.41842105263157897,0.45592105263157895
AwayGoalsAgainstPerGame,0.4921052631578947,0.4710526315789474,0.4263157894736842,0.4342105263157895,0.4559210526315789
AwayShotsForLast5,0.4868421052631579,0.5026315789473684,0.40789473684210525,0.42105263157894735,0.45460526315789473
AwayAwayGoalsAgainstLast5,0.49736842105263157,0.4631578947368421,0.42105263157894735,0.42894736842105263,0.4526315789473684
AwayPointsSeason,0.4763157894736842,0.48947368421052634,0.4342105263157895,0.4105263157894737,0.4526315789473684
AwayGoalsLast5,0.4789473684210526,0.4789473684210526,0.41578947368421054,0.4236842105263158,0.4493421052631579
AwayAwayPointsLast5,0.4842105263157895,0.48157894736842105,0.4236842105263158,0.4026315789473684,0.44802631578947366
HomeGamesPlayed,0.4842105263157895,0.4605263157894737,0.40789473684210525,0.4263157894736842,0.44473684210526315
AwayGamesPlayed,0.4842105263157895,0.4605263157894737,0.40789473684210525,0.4263157894736842,0.44473684210526315
AwayGoalsAgainstLast5,0.45,0.46578947368421053,0.4,0.4131578947368421,0.4322368421052632
HomePointsSeason,0.4342105263157895,0.47368421052631576,0.42105263157894735,0.3973684210526316,0.43157894736842106
