Feature,22-23,23-24,24-25,25-26,MeanLogLoss
EloDiffFeature,0.9991495466366768,0.940447311203494,0.9973568234814291,1.0328261230786355,0.9924449511000588
EloDiff,0.9991495466366768,0.940447311203494,0.9973568234814291,1.0328261230786355,0.9924449511000588
PPGDiff,0.9924741045799073,0.9689406143218079,1.009409685571092,1.0570922990399794,1.0069791758781965
GDPerGameDiff,0.9951173017225792,0.9684130190531925,1.0126589619151676,1.0542696516496077,1.0076147335851369
HomeElo,0.9982903520518357,0.9848921697911889,1.026029528562615,1.0632784943061029,1.0181226361779356
GoalsPerGameDiff,1.0026360942990504,0.9800695826838648,1.0459120819436392,1.0603743533933936,1.022248028079987
HomeAwayShotsDiff,1.023570261062712,0.9818417016014018,1.031446142252604,1.06671304955185,1.0258927886171418
ShotDiffLast5,1.023570261062712,0.9818417016014018,1.031446142252604,1.0667130495518498,1.0258927886171418
ShotOTDiffLast5,1.0129580705657997,0.9839996044106251,1.0427022404991326,1.0748839200624996,1.0286359588845142
HomeAwayShotsOTDiff,1.0129580705657997,0.9839996044106251,1.0427022404991326,1.0748839200624996,1.0286359588845142
PointsDiffLast5,1.0194654983942797,0.9911093727308738,1.0450850027555316,1.0648191517259118,1.0301197564016493
GoalsAgainstPerGameDiff,1.0333304100167993,1.0033804632513115,1.01878901252596,1.0734285075449983,1.032232098334767
HomeGDPerGame,1.0207461559914461,1.0064643676664018,1.0373804258858237,1.0724903474646865,1.0342703242520894
HomeAwayPPGDiff,1.0298608356152956,1.0060446324426684,1.0384296476778658,1.068643648504013,1.0357446910599606
HomeAwayPointsDiffLast5,1.0298608356152956,1.0060446324426684,1.0384296476778658,1.068643648504013,1.0357446910599606
HomePPG,1.0248523537812388,1.0134533832650556,1.0351807556829502,1.0786886553800021,1.0380437870273118
GoalDiffLast5,1.0240483609485385,1.0029857464840857,1.0577842658297034,1.0709392395564816,1.0389394032047023
HomeAwayGoalsDiffLast5,1.0278816194569942,1.0059843155382024,1.050981022776621,1.0732596260436218,1.0395266459538597
HomeAwayGoalsDiff,1.0278816194569942,1.0059843155382024,1.0509810227766208,1.0732596260436218,1.0395266459538597
HomePointsLast5,1.027249210478596,1.0134814678117152,1.0576444633521558,1.067857057703946,1.041558049836603
HomeShotsAgainstLast5,1.027715539063522,1.024027226432321,1.0542276981412835,1.073571212389646,1.044885419006693
HomeGoalsPerGame,1.0277006357507812,1.0121494018654487,1.0563254914733184,1.0841719879701572,1.0450868792649262
HomeHomePointsLast5,1.0416021579170747,1.026223807886555,1.0496948193331135,1.0694983817453487,1.046754791720523
HomeShotsOnTargetLast5,1.035675310295605,1.01708024555931,1.0617941052008262,1.0741692260024487,1.0471797217645475
AwayElo,1.0573147872391377,1.0136001134569408,1.0584536025179476,1.06283507165995,1.048050893718494
HomeShotsForLast5,1.0444721164183746,1.025086192094336,1.0531573169780344,1.070147925947471,1.048215887859554
AwayGDPerGame,1.0382059592402382,1.0243195264806955,1.0639350584578045,1.0665995768521108,1.0482650302577123
GoalAgainstDiffLast5,1.0555577599404211,1.0154164974559043,1.051422385501418,1.0716732024736866,1.0485174613428574
HomeGoalsLast5,1.0362699855864752,1.0189447694222844,1.068544225609811,1.0721259758600536,1.0489712391196562
HomeHomeGoalsLast5,1.0413941023218032,1.0245665909661248,1.0638369847988889,1.0735579737387075,1.050838912956381
HomeShotsOnTargetAgainstLast5,1.0361818142557002,1.0252327172480336,1.0683707704483838,1.078743055030349,1.0521320892456165
AwayPPG,1.0389102007968216,1.0271167305601767,1.0738506837589614,1.0698127374975543,1.0524225881533786
AwayShotsForLast5,1.0383682264970742,1.0221469201575835,1.0700837070369227,1.0833735041507293,1.0534930894605774
AwayShotsAgainstLast5,1.0419753990218779,1.0217661200637123,1.0721774146447616,1.0803546414359493,1.0540683937915751
HomeGoalsAgainstPerGame,1.043438715443068,1.0401566408422862,1.0571647018581776,1.0765935197138263,1.0543383944643394
AwayShotsOnTargetAgainstLast5,1.053958915890524,1.0291989750341244,1.0622919828821804,1.0755007604161415,1.0552376585557426
AwayShotsOnTargetLast5,1.037056386976198,1.0309338635987157,1.0673764389494773,1.085801460773321,1.055292037574428
HomeGoalsAgainstLast5,1.0394591794032746,1.039201108691248,1.070031003876643,1.074870379910419,1.0558904179703963
HomeHomeGoalsAgainstLast5,1.0510216253335978,1.044177901558456,1.0569067647031896,1.0728826462358012,1.0562472344577611
HomeAwayGoalsAgainstDiff,1.063773810047737,1.0387285065881207,1.0521094858895768,1.0730639260285921,1.0569189321385066
HomeAwayGoalsAgainstDiffLast5,1.063773810047737,1.0387285065881207,1.0521094858895768,1.0730639260285921,1.0569189321385066
AwayGoalsPerGame,1.0403273268179682,1.0392174172746589,1.078383443818452,1.0705694224774374,1.057124402597129
AwayPointsLast5,1.0461862779012738,1.0340556781038706,1.0684439078447956,1.080288598035713,1.0572436154714133
HomePointsSeason,1.0408552523823142,1.0369264427329477,1.0655576306233032,1.0877353129159273,1.057768659663623
AwayGoalsAgainstPerGame,1.057597061082643,1.0357010459241445,1.0642021833473903,1.0802446550314924,1.0594362363464176
AwayAwayPointsLast5,1.0441813420147172,1.038921397534553,1.0728481778332872,1.084124958108613,1.0600189688727926
AwayGoalsLast5,1.045791680007873,1.0425505678224494,1.0717737066418789,1.081273031703696,1.0603472465439743
AwayAwayGoalsLast5,1.0450627600157572,1.0409782840302584,1.0715572574271435,1.0846729757151798,1.0605678192970847
AwayPointsSeason,1.0504491484814042,1.0457086964681939,1.0768868872612039,1.0784846628253095,1.062882348759028
AwayGoalsAgainstLast5,1.0698878592574845,1.0368139515573664,1.069093178022703,1.0813825658494982,1.064294388671763
AwayAwayGoalsAgainstLast5,1.0568695874108376,1.0502867463175687,1.0791557949128237,1.0823428614259825,1.0671637475168032
HomeGamesPlayed,1.054433259517598,1.0564542011435023,1.081811435505025,1.0881323588474632,1.070207813753397
AwayGamesPlayed,1.054672465715916,1.0562736027421102,1.0817178462028465,1.088490485440066,1.0702886000252347
