TestSeason,Feature,Accuracy,LogLoss
22-23,HomeGoalsLast5,0.4842105263157895,1.0362699855864752
22-23,AwayGoalsLast5,0.4789473684210526,1.045791680007873
22-23,HomePointsLast5,0.4789473684210526,1.027249210478596
22-23,AwayPointsLast5,0.4789473684210526,1.0461862779012738
22-23,HomeGoalsAgainstLast5,0.4789473684210526,1.0394591794032746
22-23,AwayGoalsAgainstLast5,0.45,1.0698878592574845
22-23,HomeShotsForLast5,0.4763157894736842,1.0444721164183746
22-23,HomeShotsOnTargetLast5,0.46842105263157896,1.035675310295605
22-23,HomeShotsAgainstLast5,0.4921052631578947,1.027715539063522
22-23,HomeShotsOnTargetAgainstLast5,0.4631578947368421,1.0361818142557002
22-23,AwayShotsForLast5,0.4868421052631579,1.0383682264970742
22-23,AwayShotsOnTargetLast5,0.5026315789473684,1.037056386976198
22-23,AwayShotsAgainstLast5,0.48947368421052634,1.0419753990218779
22-23,AwayShotsOnTargetAgainstLast5,0.4921052631578947,1.053958915890524
22-23,HomeGamesPlayed,0.4842105263157895,1.054433259517598
22-23,AwayGamesPlayed,0.4842105263157895,1.054672465715916
22-23,HomePointsSeason,0.4342105263157895,1.0408552523823142
22-23,AwayPointsSeason,0.4763157894736842,1.0504491484814042
22-23,HomePPG,0.47368421052631576,1.0248523537812388
22-23,AwayPPG,0.48947368421052634,1.0389102007968216
22-23,HomeGoalsPerGame,0.4868421052631579,1.0277006357507812
22-23,AwayGoalsPerGame,0.4921052631578947,1.0403273268179682
22-23,HomeGoalsAgainstPerGame,0.5078947368421053,1.043438715443068
22-23,AwayGoalsAgainstPerGame,0.4921052631578947,1.057597061082643
22-23,HomeGDPerGame,0.4842105263157895,1.0207461559914461
22-23,AwayGDPerGame,0.5,1.0382059592402382
22-23,PPGDiff,0.5342105263157895,0.9924741045799073
22-23,GDPerGameDiff,0.5184210526315789,0.9951173017225792
22-23,GoalsPerGameDiff,0.5236842105263158,1.0026360942990504
22-23,GoalsAgainstPerGameDiff,0.5131578947368421,1.0333304100167993
22-23,HomeHomePointsLast5,0.4710526315789474,1.0416021579170747
22-23,HomeHomeGoalsLast5,0.48157894736842105,1.0413941023218032
22-23,HomeHomeGoalsAgainstLast5,0.4710526315789474,1.0510216253335978
22-23,AwayAwayPointsLast5,0.4842105263157895,1.0441813420147172
22-23,AwayAwayGoalsLast5,0.49473684210526314,1.0450627600157572
22-23,AwayAwayGoalsAgainstLast5,0.49736842105263157,1.0568695874108376
22-23,HomeAwayPointsDiffLast5,0.5131578947368421,1.0298608356152956
22-23,HomeAwayGoalsDiffLast5,0.5026315789473684,1.0278816194569942
22-23,HomeAwayGoalsAgainstDiffLast5,0.4631578947368421,1.063773810047737
22-23,GoalDiffLast5,0.5,1.0240483609485385
22-23,PointsDiffLast5,0.5026315789473684,1.0194654983942797
22-23,GoalAgainstDiffLast5,0.46842105263157896,1.0555577599404211
22-23,ShotDiffLast5,0.5131578947368421,1.023570261062712
22-23,ShotOTDiffLast5,0.5236842105263158,1.0129580705657997
22-23,HomeElo,0.49736842105263157,0.9982903520518357
22-23,AwayElo,0.5,1.0573147872391377
22-23,EloDiffFeature,0.5526315789473685,0.9991495466366768
22-23,EloDiff,0.5526315789473685,0.9991495466366768
22-23,HomeAwayPPGDiff,0.5131578947368421,1.0298608356152956
22-23,HomeAwayGoalsDiff,0.5026315789473684,1.0278816194569942
22-23,HomeAwayGoalsAgainstDiff,0.4631578947368421,1.063773810047737
22-23,HomeAwayShotsDiff,0.5131578947368421,1.023570261062712
22-23,HomeAwayShotsOTDiff,0.5236842105263158,1.0129580705657997
23-24,HomeGoalsLast5,0.4842105263157895,1.0189447694222844
23-24,AwayGoalsLast5,0.4789473684210526,1.0425505678224494
23-24,HomePointsLast5,0.4868421052631579,1.0134814678117152
23-24,AwayPointsLast5,0.4842105263157895,1.0340556781038706
23-24,HomeGoalsAgainstLast5,0.4763157894736842,1.039201108691248
23-24,AwayGoalsAgainstLast5,0.46578947368421053,1.0368139515573664
23-24,HomeShotsForLast5,0.46578947368421053,1.025086192094336
23-24,HomeShotsOnTargetLast5,0.49473684210526314,1.01708024555931
23-24,HomeShotsAgainstLast5,0.47368421052631576,1.024027226432321
23-24,HomeShotsOnTargetAgainstLast5,0.49473684210526314,1.0252327172480336
23-24,AwayShotsForLast5,0.5026315789473684,1.0221469201575835
23-24,AwayShotsOnTargetLast5,0.4842105263157895,1.0309338635987157
23-24,AwayShotsAgainstLast5,0.4921052631578947,1.0217661200637123
23-24,AwayShotsOnTargetAgainstLast5,0.4842105263157895,1.0291989750341244
23-24,HomeGamesPlayed,0.4605263157894737,1.0564542011435023
23-24,AwayGamesPlayed,0.4605263157894737,1.0562736027421102
23-24,HomePointsSeason,0.47368421052631576,1.0369264427329477
23-24,AwayPointsSeason,0.48947368421052634,1.0457086964681939
23-24,HomePPG,0.5263157894736842,1.0134533832650556
23-24,AwayPPG,0.5236842105263158,1.0271167305601767
23-24,HomeGoalsPerGame,0.48947368421052634,1.0121494018654487
23-24,AwayGoalsPerGame,0.5184210526315789,1.0392174172746589
