Feature,IndividualLogLoss,StrongComboFrequency
HomeShotsAgainstLast5,1.044885419006693,601
AwayPointsLast5,1.0572436154714133,557
GDPerGameDiff,1.0076147335851369,520
HomeShotsOnTargetAgainstLast5,1.0521320892456165,479
AwayAwayPointsLast5,1.0600189688727926,468
AwayElo,1.048050893718494,416
HomeElo,1.0181226361779356,414
AwayAwayGoalsAgainstLast5,1.0671637475168032,404
GoalDiffLast5,1.0389394032047023,397
HomeGDPerGame,1.0342703242520894,352
GoalsPerGameDiff,1.022248028079987,330
HomeGoalsLast5,1.0489712391196562,322
PPGDiff,1.0069791758781965,310
AwayAwayGoalsLast5,1.0605678192970847,305
AwayGoalsAgainstPerGame,1.0594362363464176,279
HomePPG,1.0380437870273118,276
AwayGDPerGame,1.0482650302577123,249
AwayShotsOnTargetAgainstLast5,1.0552376585557426,247
AwayPPG,1.0524225881533786,239
HomePointsSeason,1.057768659663623,236
HomeHomeGoalsAgainstLast5,1.0562472344577611,228
AwayGoalsLast5,1.0603472465439743,221
GoalsAgainstPerGameDiff,1.032232098334767,219
HomeShotsOnTargetLast5,1.0471797217645475,217
AwayPointsSeason,1.062882348759028,215
AwayShotsOnTargetLast5,1.055292037574428,214
HomeAwayGoalsAgainstDiffLast5,1.0569189321385066,210
HomePointsLast5,1.041558049836603,198
AwayGamesPlayed,1.0702886000252347,196
HomeGamesPlayed,1.070207813753397,192
HomeGoalsPerGame,1.0450868792649262,189
AwayShotsAgainstLast5,1.0540683937915751,161
HomeGoalsAgainstLast5,1.0558904179703963,159
AwayGoalsAgainstLast5,1.064294388671763,136
AwayGoalsPerGame,1.057124402597129,77
HomeAwayPointsDiffLast5,1.0357446910599606,57
HomeHomePointsLast5,1.046754791720523,46
ShotDiffLast5,1.0258927886171418,29
PointsDiffLast5,1.0301197564016493,15
HomeShotsForLast5,1.048215887859554,10
HomeGoalsAgainstPerGame,1.0543383944643394,8
HomeAwayGoalsDiffLast5,1.0395266459538597,7
HomeHomeGoalsLast5,1.050838912956381,2
AwayShotsForLast5,1.0534930894605774,0
