TestSeason,Outcome,Bin,PredictedProbability,ActualFrequency,Count
22-23,A,1,0.07113084462795255,0.0975609756097561,41
22-23,A,2,0.15072370548131295,0.1016949152542373,59
22-23,A,3,0.25327992216388256,0.10294117647058823,68
22-23,A,4,0.34353274076432627,0.3787878787878788,66
22-23,A,5,0.44037652272402,0.40816326530612246,49
22-23,A,6,0.5445006367230517,0.5208333333333334,48
22-23,A,7,0.640360684626289,0.41025641025641024,39
22-23,A,8,0.7215170594534873,0.6,10
22-23,D,2,0.1962583897938,0.4,5
22-23,D,3,0.23078849511997554,0.22666666666666666,375
22-23,H,1,0.07886618012135393,0.1,10
22-23,H,2,0.1523942816779492,0.2127659574468085,47
22-23,H,3,0.24461100818968207,0.2857142857142857,49
22-23,H,4,0.34767016999056377,0.38333333333333336,60
22-23,H,5,0.4495421800695551,0.5263157894736842,76
22-23,H,6,0.5463937067492666,0.6346153846153846,52
22-23,H,7,0.6447905745029004,0.6885245901639344,61
22-23,H,8,0.7262719974973249,0.84,25
23-24,A,1,0.06355447930414063,0.06521739130434782,46
23-24,A,2,0.14569880074942715,0.1527777777777778,72
23-24,A,3,0.2473615088600035,0.25,76
23-24,A,4,0.3477970140523899,0.2857142857142857,49
23-24,A,5,0.44735259050646337,0.43103448275862066,58
23-24,A,6,0.5532040012825833,0.5365853658536586,41
23-24,A,7,0.6511163166104461,0.7575757575757576,33
23-24,A,8,0.7140226026779525,0.8,5
23-24,D,2,0.18029255311483788,0.1595744680851064,94
23-24,D,3,0.2390310114584675,0.22519083969465647,262
23-24,D,4,0.31995646111121806,0.3333333333333333,24
23-24,H,1,0.07868951311631928,0.2727272727272727,11
23-24,H,2,0.1553948384073641,0.04878048780487805,41
23-24,H,3,0.2456891810140346,0.23809523809523808,42
23-24,H,4,0.3393078115580598,0.3684210526315789,57
23-24,H,5,0.4552287064379211,0.4626865671641791,67
23-24,H,6,0.5450611874776311,0.5166666666666667,60
23-24,H,7,0.6449675330189505,0.7096774193548387,62
23-24,H,8,0.7429765150872966,0.825,40
24-25,A,1,0.06475240186510421,0.08333333333333333,60
24-25,A,2,0.14965253972995404,0.18309859154929578,71
24-25,A,3,0.2576251202499864,0.30434782608695654,69
24-25,A,4,0.3525881839373447,0.40816326530612246,49
24-25,A,5,0.4475094104773965,0.44680851063829785,47
24-25,A,6,0.5578370391405537,0.6341463414634146,41
24-25,A,7,0.650234035350782,0.4838709677419355,31
24-25,A,8,0.7327436110809762,0.9166666666666666,12
24-25,D,2,0.18308816222376978,0.25,100
24-25,D,3,0.23378510164613936,0.24,275
24-25,D,4,0.31367084069381124,0.4,5
24-25,H,1,0.07212558601424858,0.0,17
24-25,H,2,0.15226213874460076,0.1794871794871795,39
24-25,H,3,0.2480980587893947,0.20833333333333334,48
24-25,H,4,0.35539077790127965,0.30434782608695654,46
24-25,H,5,0.4554996465770463,0.4727272727272727,55
24-25,H,6,0.5468900201911175,0.4838709677419355,62
24-25,H,7,0.656951289964416,0.5238095238095238,63
24-25,H,8,0.7438773720624023,0.6590909090909091,44
24-25,H,9,0.8191366869641977,1.0,6
25-26,A,1,0.07002200727177653,0.06666666666666667,30
25-26,A,2,0.14543888677084288,0.19736842105263158,76
25-26,A,3,0.24707127510998597,0.20987654320987653,81
25-26,A,4,0.34834727980702923,0.3333333333333333,66
25-26,A,5,0.44695670458746306,0.391304347826087,46
25-26,A,6,0.5479104193716922,0.4489795918367347,49
25-26,A,7,0.6408296021352269,0.5357142857142857,28
25-26,A,8,0.7307234565490721,0.75,4
25-26,D,2,0.18816669798284008,0.20512820512820512,39
25-26,D,3,0.2350091702445296,0.2823529411764706,340
25-26,D,4,0.3052820928440149,0.0,1
25-26,H,1,0.0703864693626192,0.16666666666666666,6
25-26,H,2,0.15591627302433553,0.1282051282051282,39
25-26,H,3,0.2522526727107718,0.3,50
25-26,H,4,0.3478066137552484,0.3392857142857143,56
25-26,H,5,0.4534920755630912,0.4583333333333333,72
25-26,H,6,0.548096073377677,0.5138888888888888,72
25-26,H,7,0.6511241973146797,0.5645161290322581,62
25-26,H,8,0.7367279724066695,0.7391304347826086,23
