Model,FeatureSet,MeanAccuracy,MeanLogLoss,AccuracyChange,LogLossChange
GradientBoosting,Baseline,0.5046052631578947,1.048868516105367,0.0,0.0
GradientBoosting,Baseline + AwayPointsLast5,0.5078947368421053,1.041554400508496,0.00328947368421062,-0.007314115596871007
GradientBoosting,Baseline + HomePointsLast5,0.5072368421052631,1.0500241842596991,0.0026315789473684292,0.0011556681543321012
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,0.5085526315789474,1.0412999814164796,0.003947368421052699,-0.007568534688887407
HistGradientBoosting,Baseline,0.47039473684210525,1.2048886302512118,0.0,0.0
HistGradientBoosting,Baseline + AwayPointsLast5,0.4710526315789474,1.2010973305271637,0.0006578947368421351,-0.003791299724048125
HistGradientBoosting,Baseline + HomePointsLast5,0.4723684210526316,1.2047060803514045,0.0019736842105263497,-0.00018254989980737157
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,0.4756578947368421,1.1989882870056565,0.0052631578947368585,-0.005900343245555328
LogisticRegression,Baseline,0.5440789473684211,0.9834715656362119,0.0,0.0
LogisticRegression,Baseline + AwayPointsLast5,0.5394736842105263,0.9811573677687637,-0.004605263157894779,-0.002314197867448131
LogisticRegression,Baseline + HomePointsLast5,0.5447368421052632,0.9835824268973535,0.0006578947368420796,0.00011086126114168149
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5,0.5421052631578948,0.9830443182221371,-0.0019736842105263497,-0.00042724741407473843
RandomForest,Baseline,0.5335526315789474,1.0048572081950735,0.0,0.0
RandomForest,Baseline + AwayPointsLast5,0.5296052631578947,1.006361747766009,-0.003947368421052699,0.001504539570935437
RandomForest,Baseline + HomePointsLast5,0.5296052631578947,1.0079620995750824,-0.003947368421052699,0.0031048913800089117
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5,0.5375,1.0012080497746658,0.003947368421052588,-0.0036491584204076943
