Model,TestSeason,TrainSeasons,NumFeatures,Accuracy,LogLoss
Baseline,22-23,21-22,3,0.5605263157894737,0.9790119024998234
Baseline + PointsDiffLast5,22-23,21-22,4,0.5526315789473685,0.9827821226086937
Baseline + HomeAwayPointsDiffLast5,22-23,21-22,4,0.5552631578947368,0.980534964494783
Baseline + Both,22-23,21-22,5,0.55,0.98365813906942
Baseline,23-24,"21-22, 22-23",3,0.5789473684210527,0.9309329710132992
Baseline + PointsDiffLast5,23-24,"21-22, 22-23",4,0.5710526315789474,0.9343311553363091
Baseline + HomeAwayPointsDiffLast5,23-24,"21-22, 22-23",4,0.5736842105263158,0.9323604560868334
Baseline + Both,23-24,"21-22, 22-23",5,0.5684210526315789,0.9345715138542853
Baseline,24-25,"21-22, 22-23, 23-24",3,0.5368421052631579,0.9914494210456655
Baseline + PointsDiffLast5,24-25,"21-22, 22-23, 23-24",4,0.5368421052631579,0.9895547504104589
Baseline + HomeAwayPointsDiffLast5,24-25,"21-22, 22-23, 23-24",4,0.531578947368421,0.9969758475287919
Baseline + Both,24-25,"21-22, 22-23, 23-24",5,0.5289473684210526,0.9949518912202691
Baseline,25-26,"21-22, 22-23, 23-24, 24-25",3,0.5026315789473684,1.0317866114872343
Baseline + PointsDiffLast5,25-26,"21-22, 22-23, 23-24, 24-25",4,0.4921052631578947,1.0296531419600736
Baseline + HomeAwayPointsDiffLast5,25-26,"21-22, 22-23, 23-24, 24-25",4,0.49736842105263157,1.0318639400740757
Baseline + Both,25-26,"21-22, 22-23, 23-24, 24-25",5,0.4921052631578947,1.0289215822781226
