Model,FeatureSet,TestSeason,Accuracy,LogLoss,NumFeatures
LogisticRegression,Baseline,22-23,0.5605263157894737,0.979527094704353,3
LogisticRegression,Baseline + HomePointsLast5,22-23,0.5631578947368421,0.9819056446323563,4
LogisticRegression,Baseline + AwayPointsLast5,22-23,0.55,0.9767848529331128,4
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5,22-23,0.5578947368421052,0.9836133732296924,5
LogisticRegression,Baseline + PointsDiffLast5,22-23,0.5578947368421052,0.9843332570552371,4
LogisticRegression,Baseline + HomeAwayPointsDiffLast5,22-23,0.5578947368421052,0.981366927889175,4
LogisticRegression,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,22-23,0.5526315789473685,0.9852239961616598,5
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,22-23,0.5552631578947368,0.9836279978893581,6
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,22-23,0.5552631578947368,0.984514330989426,6
LogisticRegression,Baseline + All Points Features,22-23,0.5552631578947368,0.9845224933009937,7
RandomForest,Baseline,22-23,0.5026315789473684,1.1624847209074605,3
RandomForest,Baseline + HomePointsLast5,22-23,0.5078947368421053,1.0626350400911888,4
RandomForest,Baseline + AwayPointsLast5,22-23,0.49473684210526314,1.0767173918258364,4
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5,22-23,0.5157894736842106,1.142027529522103,5
RandomForest,Baseline + PointsDiffLast5,22-23,0.5105263157894737,1.1378439797063569,4
RandomForest,Baseline + HomeAwayPointsDiffLast5,22-23,0.49736842105263157,1.0654385758596867,4
RandomForest,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,22-23,0.5,1.1159868472377175,5
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,22-23,0.4921052631578947,1.0540644954999459,6
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,22-23,0.5052631578947369,1.059000090518802,6
RandomForest,Baseline + All Points Features,22-23,0.5026315789473684,1.0447319353524351,7
GradientBoosting,Baseline,22-23,0.4710526315789474,1.1816418225734115,3
GradientBoosting,Baseline + HomePointsLast5,22-23,0.48157894736842105,1.182006944119176,4
GradientBoosting,Baseline + AwayPointsLast5,22-23,0.45526315789473687,1.1920414094567342,4
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,22-23,0.4473684210526316,1.1881788892055034,5
GradientBoosting,Baseline + PointsDiffLast5,22-23,0.5052631578947369,1.1649864015447202,4
GradientBoosting,Baseline + HomeAwayPointsDiffLast5,22-23,0.46578947368421053,1.1708712179620115,4
GradientBoosting,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,22-23,0.4842105263157895,1.1537186436282982,5
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,22-23,0.45789473684210524,1.1939784319117406,6
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,22-23,0.4421052631578947,1.1946609341236927,6
GradientBoosting,Baseline + All Points Features,22-23,0.4763157894736842,1.1748709486054787,7
HistGradientBoosting,Baseline,22-23,0.45526315789473687,1.4183032307005294,3
HistGradientBoosting,Baseline + HomePointsLast5,22-23,0.4631578947368421,1.4482843199657434,4
HistGradientBoosting,Baseline + AwayPointsLast5,22-23,0.45526315789473687,1.4435203225445081,4
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,22-23,0.47368421052631576,1.4865876567949308,5
HistGradientBoosting,Baseline + PointsDiffLast5,22-23,0.4868421052631579,1.4321162894026283,4
HistGradientBoosting,Baseline + HomeAwayPointsDiffLast5,22-23,0.5,1.401004965424417,4
HistGradientBoosting,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,22-23,0.49736842105263157,1.4152486310231904,5
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,22-23,0.4842105263157895,1.5042829776771827,6
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,22-23,0.47368421052631576,1.4605373236212884,6
HistGradientBoosting,Baseline + All Points Features,22-23,0.49736842105263157,1.5119275612185124,7
LogisticRegression,Baseline,23-24,0.5789473684210527,0.9309121852168283,3
LogisticRegression,Baseline + HomePointsLast5,23-24,0.5789473684210527,0.930924951707449,4
LogisticRegression,Baseline + AwayPointsLast5,23-24,0.5789473684210527,0.9288081336403949,4
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5,23-24,0.5789473684210527,0.9320656432909392,5
LogisticRegression,Baseline + PointsDiffLast5,23-24,0.5736842105263158,0.9344932369089424,4
LogisticRegression,Baseline + HomeAwayPointsDiffLast5,23-24,0.5736842105263158,0.9324608082735928,4
LogisticRegression,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,23-24,0.5684210526315789,0.9348181501843534,5
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,23-24,0.5789473684210527,0.9320879677761459,6
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,23-24,0.5763157894736842,0.9320604051107532,6
LogisticRegression,Baseline + All Points Features,23-24,0.5763157894736842,0.9320530597181836,7
RandomForest,Baseline,23-24,0.49736842105263157,1.0536490382110992,3
RandomForest,Baseline + HomePointsLast5,23-24,0.5052631578947369,1.0488303823839717,4
RandomForest,Baseline + AwayPointsLast5,23-24,0.5078947368421053,1.0427021477602685,4
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5,23-24,0.5131578947368421,1.0279031742821205,5
RandomForest,Baseline + PointsDiffLast5,23-24,0.48947368421052634,1.1270395788877636,4
RandomForest,Baseline + HomeAwayPointsDiffLast5,23-24,0.5,1.0530979508943346,4
RandomForest,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,23-24,0.5342105263157895,1.0273904722405622,5
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,23-24,0.5368421052631579,1.012087950465301,6
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,23-24,0.5210526315789473,1.0133897338642792,6
RandomForest,Baseline + All Points Features,23-24,0.5394736842105263,0.9953925846890164,7
GradientBoosting,Baseline,23-24,0.5131578947368421,1.030025041890754,3
