Model,TestSeason,Accuracy,LogLoss
Baseline,22-23,0.5605263157894737,0.9795270947043606
Baseline + HomePointsLast5,22-23,0.5631578947368421,0.9819065568044224
Baseline + AwayPointsLast5,22-23,0.55,0.9767859899699108
Baseline + HomePointsLast5 + AwayPointsLast5,22-23,0.5578947368421052,0.9836205628101823
Baseline + PointsDiffLast5,22-23,0.5578947368421052,0.9843159856859496
Baseline,23-24,0.5789473684210527,0.9309121852171429
Baseline + HomePointsLast5,23-24,0.5789473684210527,0.9309186488916581
Baseline + AwayPointsLast5,23-24,0.5789473684210527,0.9288081336385755
Baseline + HomePointsLast5 + AwayPointsLast5,23-24,0.5789473684210527,0.9320722862626167
Baseline + PointsDiffLast5,23-24,0.5736842105263158,0.9345175329546123
Baseline,24-25,0.5342105263157895,0.9915628026208816
Baseline + HomePointsLast5,24-25,0.5342105263157895,0.9916980056751799
Baseline + AwayPointsLast5,24-25,0.5394736842105263,0.988960532321627
Baseline + HomePointsLast5 + AwayPointsLast5,24-25,0.5421052631578948,0.9885734993153062
Baseline + PointsDiffLast5,24-25,0.5368421052631579,0.9896558775236138
Baseline,25-26,0.5026315789473684,1.0318841800024625
Baseline + HomePointsLast5,25-26,0.5026315789473684,1.0298064962181537
Baseline + AwayPointsLast5,25-26,0.48947368421052634,1.0300748151449415
Baseline + HomePointsLast5 + AwayPointsLast5,25-26,0.48947368421052634,1.027910924500443
Baseline + PointsDiffLast5,25-26,0.4921052631578947,1.029774058409813
