Features,NumFeatures,AddedFeature,MeanAccuracy,WeightedAccuracy,MeanLogLoss,MeanBrier
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff,4,GDPerGameDiff,0.5361842105263157,0.5361842105263158,0.9807342497377391,0.5846673031819225
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsPerGameDiff,4,GoalsPerGameDiff,0.5394736842105263,0.5394736842105263,0.9809543131180694,0.5846404853111622
EloDiff + AwayPointsLast5 + XGDDiffLast5 + XGDDiff,4,XGDDiff,0.5317567567567567,0.5317567567567567,0.981183990291465,0.5853588863593641
EloDiff + AwayPointsLast5 + XGDDiffLast5 + PPGDiff,4,PPGDiff,0.5401315789473684,0.5401315789473684,0.9812451393591413,0.5848927806100401
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame,4,AwayGDPerGame,0.5388157894736842,0.5388157894736842,0.981364827583773,0.5842847714124991
EloDiff + HomeElo + XGDDiffLast5 + AwayGDPerGame,4,AwayGDPerGame,0.5388157894736842,0.5388157894736842,0.9815300316512015,0.5843333295892157
EloDiff + HomeElo + XGDDiffLast5 + GDPerGameDiff,4,GDPerGameDiff,0.5394736842105264,0.5394736842105263,0.9818989532811917,0.5848653198553911
EloDiff + AwayElo + XGDDiffLast5 + GDPerGameDiff,4,GDPerGameDiff,0.5407894736842106,0.5407894736842105,0.9819718109454985,0.5849457044921915
EloDiff + HomeElo + XGDDiffLast5 + GoalsPerGameDiff,4,GoalsPerGameDiff,0.5453947368421053,0.5453947368421053,0.9819792587728765,0.5847229127388242
EloDiff + AwayElo + XGDDiffLast5 + GoalsPerGameDiff,4,GoalsPerGameDiff,0.5460526315789473,0.5460526315789473,0.9820736424114577,0.5848190284397752
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsOnTargetAgainstLast5,4,HomeShotsOnTargetAgainstLast5,0.5414473684210527,0.5414473684210527,0.9821129178197275,0.5852561145942883
EloDiff + HomeShotsOnTargetAgainstLast5 + XGDDiffLast5 + AwayPointsLast5,4,AwayPointsLast5,0.5414473684210527,0.5414473684210527,0.9821129178197275,0.5852561145942884
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeGoalsLast5,4,HomeGoalsLast5,0.5394736842105263,0.5394736842105263,0.9821450802816664,0.5849932528357069
EloDiff + AwayPointsLast5 + XGDDiffLast5 + AwayGDPerGame,4,AwayGDPerGame,0.5348684210526315,0.5348684210526315,0.9822184821337074,0.5857762910484521
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeGDPerGame,4,HomeGDPerGame,0.5394736842105263,0.5394736842105263,0.9822263798926014,0.5851959981693524
EloDiff + HomeGDPerGame + XGDDiffLast5 + AwayPointsLast5,4,AwayPointsLast5,0.5394736842105263,0.5394736842105263,0.9822263798926014,0.5851959981693524
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeGoalsPerGame,4,HomeGoalsPerGame,0.5361842105263158,0.5361842105263158,0.9822651062362698,0.5849534283425862
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsAgainstPerGameDiff,4,GoalsAgainstPerGameDiff,0.5368421052631579,0.5368421052631579,0.9822881736783476,0.5856054464709808
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsAgainstLast5,4,HomeShotsAgainstLast5,0.5401315789473684,0.5401315789473684,0.9822930593581878,0.5854719566906813
EloDiff + HomeShotsAgainstLast5 + XGDDiffLast5 + AwayPointsLast5,4,AwayPointsLast5,0.5401315789473684,0.5401315789473684,0.9822930593581878,0.5854719566906813
EloDiff + HomeElo + XGDDiffLast5 + XGDDiff,4,XGDDiff,0.5391891891891891,0.5391891891891892,0.9823015238282232,0.5854995222077666
EloDiff + AwayElo + XGDDiffLast5 + XGDDiff,4,XGDDiff,0.5385135135135135,0.5385135135135135,0.9823970857135984,0.58558663695747
EloDiff + HomeElo + XGDDiffLast5 + AwayPPG,4,AwayPPG,0.5361842105263158,0.5361842105263158,0.9824006457348351,0.5849596290794125
EloDiff + AwayElo + XGDDiffLast5 + AwayPPG,4,AwayPPG,0.5381578947368422,0.5381578947368421,0.9824670269807789,0.585031531211339
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomePPG,4,HomePPG,0.5401315789473684,0.5401315789473684,0.9825265278590747,0.5853540269865617
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalDiffLast5,4,GoalDiffLast5,0.5407894736842105,0.5407894736842105,0.9825716221688745,0.5855620042304255
EloDiff + GoalDiffLast5 + XGDDiffLast5 + AwayPointsLast5,4,AwayPointsLast5,0.5407894736842105,0.5407894736842105,0.9825716221688745,0.5855620042304255
EloDiff + AwayPointsLast5 + XGDDiffLast5 + AwayPPG,4,AwayPPG,0.5335526315789474,0.5335526315789474,0.9825757425584432,0.5859942883721252
EloDiff + AwayPointsLast5 + XGDDiffLast5 + AwayShotsOnTargetLast5,4,AwayShotsOnTargetLast5,0.5407894736842105,0.5407894736842105,0.9825938798697058,0.5856339264588057
EloDiff + HomeElo + XGDDiffLast5 + PPGDiff,4,PPGDiff,0.5401315789473684,0.5401315789473684,0.9826104131556599,0.5851895521729726
EloDiff + AwayPointsLast5 + XGDDiffLast5 + AwayGoalsAgainstPerGame,4,AwayGoalsAgainstPerGame,0.5348684210526315,0.5348684210526315,0.9827029930857041,0.5855275014365589
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeElo,4,HomeElo,0.543421052631579,0.5434210526315789,0.9827133984745253,0.5850452447266472
