Features,NumFeatures,AddedFeature,MeanAccuracy,WeightedAccuracy,MeanLogLoss,MeanBrier
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5,5,AwayPointsLast5,0.5355263157894736,0.5355263157894737,0.9802875223330048,0.5836886833356498
EloDiff + AwayPointsLast5 + XGDDiffLast5 + AwayGDPerGame + AwayElo,5,AwayElo,0.5355263157894736,0.5355263157894737,0.9802875223330063,0.5836886833356507
EloDiff + HomeElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5,5,AwayPointsLast5,0.5335526315789474,0.5335526315789474,0.9803904821303153,0.5837015175794348
EloDiff + AwayPointsLast5 + XGDDiffLast5 + AwayGDPerGame + HomeElo,5,HomeElo,0.5335526315789474,0.5335526315789474,0.9803904821303153,0.5837015175794347
EloDiff + HomeShotsOnTargetAgainstLast5 + XGDDiffLast5 + AwayPointsLast5 + GDPerGameDiff,5,GDPerGameDiff,0.5361842105263157,0.5361842105263158,0.9810640315110736,0.5849230704556221
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsOnTargetAgainstLast5 + GDPerGameDiff,5,GDPerGameDiff,0.5361842105263157,0.5361842105263158,0.9810640315110736,0.5849230704556221
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + HomeShotsOnTargetAgainstLast5,5,HomeShotsOnTargetAgainstLast5,0.5361842105263157,0.5361842105263158,0.9810640315110736,0.5849230704556221
EloDiff + AwayPointsLast5 + XGDDiffLast5 + XGDDiff + HomeGoalsLast5,5,HomeGoalsLast5,0.5297297297297298,0.5297297297297298,0.98108585470931,0.5851476870292606
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeGoalsLast5 + XGDDiff,5,XGDDiff,0.5297297297297298,0.5297297297297298,0.98108585470931,0.5851476870292607
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsAgainstLast5 + GDPerGameDiff,5,GDPerGameDiff,0.5388157894736842,0.5388157894736842,0.9812637975145486,0.5850818168347687
EloDiff + HomeShotsAgainstLast5 + XGDDiffLast5 + AwayPointsLast5 + GDPerGameDiff,5,GDPerGameDiff,0.5388157894736842,0.5388157894736842,0.9812637975145486,0.5850818168347687
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + HomeShotsAgainstLast5,5,HomeShotsAgainstLast5,0.5388157894736842,0.5388157894736842,0.9812637975145486,0.5850818168347687
EloDiff + HomeShotsOnTargetAgainstLast5 + XGDDiffLast5 + AwayPointsLast5 + GoalsPerGameDiff,5,GoalsPerGameDiff,0.5381578947368421,0.5381578947368421,0.9812673553422888,0.5848534394751413
