Features,AddedFeature,NumFeatures,MeanAccuracy,MeanLogLoss,MeanBrier,AccuracyChange,LogLossChange,BrierChange
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomePPG,HomePPG,6,0.5335526315789474,0.9803697883959098,0.58371305682096,-0.0019736842105262387,8.226606290351324e-05,2.4373485309259202e-05
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomeElo,HomeElo,6,0.5335526315789474,0.9804215912227903,0.5837168472992006,-0.0019736842105262387,0.00013406888978395592,2.8163963549876492e-05
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + GoalsPerGameDiff,GoalsPerGameDiff,6,0.5335526315789474,0.9805603430949431,0.5838629242103992,-0.0019736842105262387,0.0002728207619367984,0.00017424087474848804
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomeShotsAgainstLast5,HomeShotsAgainstLast5,6,0.5328947368421053,0.9807264740121984,0.5840617169182067,-0.002631578947368318,0.0004389516791920567,0.00037303358255602603
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomeShotsOnTargetAgainstLast5,HomeShotsOnTargetAgainstLast5,6,0.5335526315789474,0.9808124745369264,0.5841170604841879,-0.0019736842105262387,0.000524952203920126,0.00042837714853716236
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomeGDPerGame,HomeGDPerGame,6,0.5355263157894736,0.9808971076776409,0.5840836819223805,0.0,0.0006095853446346222,0.00039499858672975563
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + GDPerGameDiff,GDPerGameDiff,6,0.5348684210526315,0.9809067641613147,0.5841005416809777,-0.0006578947368420796,0.0006192418283084145,0.0004118583453269764
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomeGoalsLast5,HomeGoalsLast5,6,0.5342105263157895,0.9809227966966516,0.5839539295109171,-0.001315789473684159,0.0006352743636452995,0.00026524617526635375
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + AwayPPG,AwayPPG,6,0.5335526315789474,0.9809972653179497,0.5840680766905108,-0.0019736842105262387,0.0007097429849434178,0.0003793933548600359
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomeGoalsPerGame,HomeGoalsPerGame,6,0.5342105263157895,0.981187349013138,0.5841120385115723,-0.001315789473684159,0.0008998266801316657,0.00042335517592162475
