Model,Features,FeatureList,TrainGames,TestGames,Accuracy,LogLoss,Brier_A,Brier_D,Brier_H,AccuracyChange,LogLossChange,BrierAChange,BrierDChange,BrierHChange
BASELINE,3,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5,1520,380,0.4921052631578947,1.0352295493268973,0.19662838275405378,0.2028462115334826,0.22486810466106064,0.0,0.0,0.0,0.0,0.0
BASELINE + XGForDiffPg,4,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg,1480,370,0.4864864864864865,1.0297198754137904,0.19623863803235517,0.20250924949941818,0.22216337044253,-0.005618776671408199,-0.005509673913106861,-0.00038974472169861496,-0.00033696203406441416,-0.0027047342185306245
BASELINE + XGAgainstDiffPg,4,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg,1480,370,0.4756756756756757,1.0372104505017135,0.20037384772695144,0.20243370999813037,0.22261931556985853,-0.01642958748221901,0.0019809011748161964,0.0037454649728976552,-0.00041250153535221656,-0.0022487890912021025
BASELINE + XGDDiff,4,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGDDiff,1480,370,0.4837837837837838,1.0317145442614386,0.19792160483613402,0.2023316956711673,0.22160556929237246,-0.00832147937411093,-0.003515005065458654,0.001293222082080242,-0.0005145158623152957,-0.003262535368688174
BASELINE + XGForDiffLast5,4,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffLast5,1520,380,0.4921052631578947,1.0354669818459181,0.19618093744710144,0.20334372854076094,0.2247110853309901,0.0,0.0002374325190208637,-0.0004474453069523432,0.0004975170072783475,-0.0001570193300705347
BASELINE + XGAgainstDiffLast5,4,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffLast5,1520,380,0.5026315789473684,1.035334014226824,0.19787546096020298,0.2020674785570691,0.22292665291280192,0.010526315789473717,0.00010446489992665953,0.0012470782061491936,-0.000778732976413482,-0.0019414517482587157
BASELINE + XGDDiffLast5,4,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGDDiffLast5,1520,380,0.49736842105263157,1.0329245357622876,0.19611455111137693,0.2022041726170294,0.2230362095682605,0.0052631578947368585,-0.0023050135646096592,-0.0005138316426768486,-0.0006420389164532025,-0.0018318950928001287
BASELINE + XGForDiffPg + XGAgainstDiffPg,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGAgainstDiffPg,1480,370,0.4837837837837838,1.0317990649843631,0.197910746784092,0.2023795396096693,0.22162034471818068,-0.00832147937411093,-0.0034304843425341236,0.00128236403003823,-0.0004666719238132777,-0.0032477599428799575
BASELINE + XGForDiffPg + XGDDiff,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGDDiff,1480,370,0.4837837837837838,1.0316486098540232,0.19787604300321696,0.20234236471303904,0.22160623368419455,-0.00832147937411093,-0.0035809394728740784,0.0012476602491631739,-0.0005038468204435487,-0.003261870976866088
BASELINE + XGForDiffPg + XGForDiffLast5,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGForDiffLast5,1480,370,0.4972972972972973,1.0324683824075187,0.19707151805239229,0.20346355450980896,0.22235784246035648,0.005192034139402613,-0.002761166919378555,0.00044313529833850396,0.0006173429763263738,-0.002510262200704161
BASELINE + XGForDiffPg + XGAgainstDiffLast5,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGAgainstDiffLast5,1480,370,0.4945945945945946,1.0301428269005206,0.19745141659848178,0.20159823669649007,0.22077979515826684,0.002489331436699882,-0.005086722426376644,0.0008230338444280005,-0.0012479748369925159,-0.004088309502793791
BASELINE + XGForDiffPg + XGDDiffLast5,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGDDiffLast5,1480,370,0.4918918918918919,1.0295778690275188,0.196283108478277,0.20194427320732602,0.2217269949769973,-0.0002133712660027931,-0.005651680299378459,-0.00034527427577676906,-0.000901938326156565,-0.003141109684063337
BASELINE + XGAgainstDiffPg + XGDDiff,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg + XGDDiff,1480,370,0.4837837837837838,1.0318639872089046,0.19793635609931548,0.20239247149548903,0.22162081594242208,-0.00832147937411093,-0.00336556211799266,0.0013079733452616982,-0.0004537400379935608,-0.0032472887186385524
BASELINE + XGAgainstDiffPg + XGForDiffLast5,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg + XGForDiffLast5,1480,370,0.4810810810810811,1.0391099042805134,0.20042853517020814,0.2033471382326312,0.22272261051846434,-0.011024182076813605,0.003880354953616161,0.003800152416154362,0.0005009266991486128,-0.0021454941425962937
BASELINE + XGAgainstDiffPg + XGAgainstDiffLast5,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg + XGAgainstDiffLast5,1480,370,0.4918918918918919,1.0370707903290042,0.2004015056196053,0.20209794075058413,0.2220206986652323,-0.0002133712660027931,0.0018412410021069192,0.0037731228655515092,-0.0007482707828984636,-0.0028474059958283338
BASELINE + XGAgainstDiffPg + XGDDiffLast5,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffPg + XGDDiffLast5,1480,370,0.4864864864864865,1.038055972805517,0.19996537036266274,0.20302697574630255,0.22225637567932788,-0.005618776671408199,0.0028264234786197218,0.0033369876086089545,0.00018076421281995603,-0.0026117289817327582
