Div,Date,Time,HomeTeam,AwayTeam,PredictedResult,HomeProb,DrawProb,AwayProb,ActualResult,Bet,Profit
E0,21/08/2026,20:00,Arsenal,Coventry,H,71.1,20.1,8.7,H,1.0,0.17
E0,22/08/2026,12:30,Hull,Man United,A,22.2,25.7,52.1,H,1.0,-1.0
E0,22/08/2026,15:00,Everton,Crystal Palace,H,48.4,23.7,27.9,H,1.0,1.15
E0,22/08/2026,15:00,Ipswich,Sunderland,A,21.3,24.8,53.9,H,1.0,-1.0
E0,22/08/2026,15:00,Nott'm Forest,Leeds,H,46.3,24.6,29.2,A,1.0,-1.0
E0,22/08/2026,17:30,Brentford,Tottenham,H,46.6,27.9,25.6,H,1.0,1.38
E0,23/08/2026,14:00,Brighton,Aston Villa,A,40.8,24.0,35.2,H,1.0,-1.0
E0,23/08/2026,14:00,Man City,Bournemouth,H,55.8,23.5,20.7,H,1.0,0.44
E0,23/08/2026,16:30,Newcastle,Liverpool,A,41.3,23.2,35.5,D,1.0,-1.0
E0,24/08/2026,20:00,Fulham,Chelsea,H,49.2,23.0,27.8,A,1.0,-1.0
E0,28/08/2026,20:00,Crystal Palace,Manchester City,H,16.4,25.6,58.0,H,1.0,0.6
E0,29/08/2026,12:30,Liverpool,Nottingham Forest,H,56.2,23.2,20.7,D,1.0,-1.0
E0,29/08/2026,15:00,Bournemouth,Everton,H,56.2,23.2,20.6,D,1.0,-1.0
E0,29/08/2026,15:00,Coventry,Hull City,H,36.8,26.8,36.4,A,1.0,-1.0
E0,29/08/2026,17:30,Tottenham Hotspur,Newcastle United,A,36.5,24.7,38.9,A,1.0,1.9
E0,30/08/2026,14:00,Chelsea,Brighton and Hove Albion,H,37.1,27.0,35.9,H,1.0,0.85
E0,30/08/2026,14:00,Leeds United,Brentford,H,43.4,24.4,32.2,D,1.0,-1.0
E0,30/08/2026,14:00,Sunderland,Fulham,H,50.5,22.9,26.6,H,1.0,1.38
E0,30/08/2026,16:30,Manchester United,Ipswich,H,70.2,20.9,9.0,H,1.0,0.4
E0,31/08/2026,20:00,Aston Villa,Arsenal,A,18.9,27.6,53.5,,,
E0,04/09/2026,20:00,Ipswich,Liverpool,A,22.3,23.2,54.4,,,
E0,05/09/2026,12:30,Newcastle United,Bournemouth,A,36.2,24.3,39.5,,,
E0,05/09/2026,15:00,Brentford,Sunderland,H,47.4,25.0,27.6,,,
E0,05/09/2026,15:00,Brighton and Hove Albion,Leeds United,H,52.7,22.5,24.9,,,
E0,05/09/2026,15:00,Fulham,Crystal Palace,H,46.2,24.8,29.0,,,
E0,05/09/2026,15:00,Manchester City,Coventry,H,73.1,18.4,8.4,,,
E0,05/09/2026,15:00,Nottingham Forest,Tottenham Hotspur,H,50.6,24.6,24.8,,,
E0,05/09/2026,17:30,Hull City,Aston Villa,A,36.6,24.1,39.3,,,
E0,06/09/2026,14:00,Everton,Manchester United,A,24.5,27.2,48.3,,,
E0,06/09/2026,16:30,Arsenal,Chelsea,H,70.2,19.2,10.6,,,
