HomeTeam,AwayTeam,HomeXG,AwayXG
Burnley,Manchester City,0.311032,2.40074
Arsenal,Nottingham Forest,0.84262,0.966305
Bournemouth,West Ham,1.51025,1.4834
Brighton,Luton,4.36748,1.88594
Everton,Fulham,2.59001,1.58144
Newcastle United,Aston Villa,4.32208,1.486
Sheffield United,Crystal Palace,0.422704,2.27616
Brentford,Tottenham,1.90756,1.45316
Chelsea,Liverpool,1.93258,1.29994
Manchester United,Wolverhampton Wanderers,1.97087,1.72228
Nottingham Forest,Sheffield United,1.37181,0.551038
Fulham,Brentford,0.399899,3.46888
Liverpool,Bournemouth,3.25448,1.3867
Manchester City,Newcastle United,1.22528,0.257154
Tottenham,Manchester United,2.53904,2.44604
Wolverhampton Wanderers,Brighton,2.68821,3.15562
Aston Villa,Everton,3.24336,0.721465
West Ham,Chelsea,1.71234,1.60916
Crystal Palace,Arsenal,1.06916,2.20593
Chelsea,Luton,3.41419,0.465741
Arsenal,Fulham,3.23088,0.849817
Bournemouth,Tottenham,0.483582,2.26115
Brentford,Crystal Palace,0.948011,1.06061
Brighton,West Ham,1.3743,2.9527
Everton,Wolverhampton Wanderers,1.89792,1.40228
Manchester United,Nottingham Forest,3.02803,0.960354
Burnley,Aston Villa,0.630605,2.83691
Newcastle United,Liverpool,1.62037,0.856121
Sheffield United,Manchester City,0.762232,3.84804
Luton,West Ham,2.02244,1.22528
Brentford,Bournemouth,3.07185,2.11013
Brighton,Newcastle United,1.32258,0.90476
Burnley,Tottenham,1.66604,2.39785
Chelsea,Nottingham Forest,2.28442,1.1505
Manchester City,Fulham,2.00152,1.46427
Sheffield United,Everton,1.575,2.73871
Arsenal,Manchester United,1.90973,0.966109
Crystal Palace,Wolverhampton Wanderers,2.32935,1.13911
Liverpool,Aston Villa,2.73138,0.615503
Aston Villa,Crystal Palace,2.31518,1.11696
Fulham,Luton,1.75704,1.45705
Manchester United,Brighton,0.719951,1.93908
Newcastle United,Brentford,1.50126,0.633678
Tottenham,Sheffield United,2.15909,0.790655
West Ham,Manchester City,0.895632,4.15046
Wolverhampton Wanderers,Liverpool,0.538833,2.82701
Bournemouth,Chelsea,1.32515,1.39677
Everton,Arsenal,0.28317,0.802605
Nottingham Forest,Burnley,0.705795,0.807651
Brentford,Everton,1.57402,2.51497
Burnley,Manchester United,0.935444,0.840273
Crystal Palace,Fulham,0.37236,0.542678
Luton,Wolverhampton Wanderers,2.24101,0.762984
Manchester City,Nottingham Forest,1.33984,0.729109
Arsenal,Tottenham,2.3429,2.21166
Brighton,Bournemouth,2.14533,1.58984
Chelsea,Aston Villa,1.19716,1.13479
Liverpool,West Ham,4.14262,1.53878
Sheffield United,Newcastle United,0.579392,5.1082
Aston Villa,Brighton,1.90746,1.72819
Bournemouth,Arsenal,0.644443,4.0742
Everton,Luton,3.65377,1.5102
Manchester United,Crystal Palace,1.55408,1.19015
Newcastle United,Burnley,3.08516,0.801849
Tottenham,Liverpool,2.18823,1.12299
West Ham,Sheffield United,3.19753,0.911997
Wolverhampton Wanderers,Manchester City,0.673985,0.98075
Nottingham Forest,Brentford,0.800317,1.75862
Fulham,Chelsea,0.889383,1.98461
Luton,Burnley,1.53058,0.920206
Burnley,Chelsea,0.956642,1.97566
Crystal Palace,Nottingham Forest,0.982452,1.22105
Everton,Bournemouth,3.16482,0.981732
Fulham,Sheffield United,2.26612,0.251809
Luton,Tottenham,0.848118,2.37947
Manchester United,Brentford,1.29356,1.02509
Arsenal,Manchester City,0.386558,0.858071
Brighton,Liverpool,2.23187,2.51029
West Ham,Newcastle United,0.931345,1.97865
Wolverhampton Wanderers,Aston Villa,1.76232,1.81618
Bournemouth,Wolverhampton Wanderers,1.01839,2.30454
Brentford,Burnley,3.15685,0.693129
Chelsea,Arsenal,1.71838,1.05791
Liverpool,Everton,2.28568,0.0937725
Manchester City,Brighton,0.962509,0.963733
Newcastle United,Crystal Palace,3.73336,1.08795
Nottingham Forest,Luton,3.27549,1.49555
Sheffield United,Manchester United,1.41074,1.46187
Aston Villa,West Ham,2.34143,0.659622
Tottenham,Fulham,1.63523,0.745838
Crystal Palace,Tottenham,0.561834,0.989103
Arsenal,Sheffield United,3.03496,0.0281554
Bournemouth,Burnley,1.10052,0.90255
Chelsea,Brentford,1.71801,2.48137
Wolverhampton Wanderers,Newcastle United,0.863393,2.31987
Aston Villa,Luton,3.07654,0.453117
Brighton,Fulham,1.31996,0.552523
Liverpool,Nottingham Forest,2.70428,0.642014
Manchester United,Manchester City,0.714628,4.54595
West Ham,Everton,0.618578,0.733813
Brentford,West Ham,1.82944,1.75505
Burnley,Crystal Palace,1.4998,1.43653
Everton,Brighton,0.617607,0.442489
Fulham,Manchester United,1.18241,0.697095
Manchester City,Bournemouth,2.39949,0.643127
Newcastle United,Arsenal,1.12355,0.535473
Sheffield United,Wolverhampton Wanderers,1.10165,1.14803
Luton,Liverpool,1.3411,3.03925
Nottingham Forest,Aston Villa,0.592447,1.33116
Tottenham,Chelsea,0.959108,4.05865
Arsenal,Burnley,2.63194,0.327706
Bournemouth,Newcastle United,2.78424,0.306141
Crystal Palace,Everton,1.89194,1.7904
Manchester United,Luton,2.74105,0.408265
Wolverhampton Wanderers,Tottenham,1.90884,0.432315
Aston Villa,Fulham,2.86039,0.648745
Brighton,Sheffield United,1.08601,0.84434
Chelsea,Manchester City,3.47238,3.19324
Liverpool,Brentford,1.56004,1.44954
West Ham,Nottingham Forest,2.06402,1.42128
Brentford,Arsenal,1.66315,1.82699
Burnley,West Ham,1.44228,1.36963
Luton,Crystal Palace,0.996153,1.83546
Manchester City,Liverpool,1.79622,0.766278
Newcastle United,Chelsea,2.15227,0.968061
Nottingham Forest,Brighton,2.22655,1.21792
Sheffield United,Bournemouth,0.816227,3.13975
Everton,Manchester United,2.49764,2.07334
Tottenham,Aston Villa,2.22542,2.39755
Fulham,Wolverhampton Wanderers,2.49057,1.57875
Arsenal,Wolverhampton Wanderers,3.30368,1.07886
