canonical_name,football_data_name,understat_name,bbc_name
Arsenal,Arsenal,Arsenal,Arsenal
Aston Villa,Aston Villa,Aston Villa,Aston Villa
Bournemouth,Bournemouth,Bournemouth,AFC Bournemouth
Brentford,Brentford,Brentford,Brentford
Brighton and Hove Albion,Brighton,Brighton,Brighton & Hove Albion
Burnley,Burnley,Burnley,
Chelsea,Chelsea,Chelsea,Chelsea
Coventry,Coventry,Coventry,Coventry City
Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
Everton,Everton,Everton,Everton
Fulham,Fulham,Fulham,Fulham
Hull City,Hull,Hull,Hull City
Ipswich,Ipswich,Ipswich,Ipswich Town
Leeds United,Leeds,Leeds,Leeds United
Leicester City,Leicester,Leicester,
Liverpool,Liverpool,Liverpool,Liverpool
Luton,Luton,Luton,
Manchester City,Man City,Manchester City,Manchester City
Manchester United,Man United,Manchester United,Manchester United
Newcastle United,Newcastle,Newcastle United,Newcastle United
Norwich City,Norwich,Norwich,
Nottingham Forest,Nott'm Forest,Nottingham Forest,Nottingham Forest
Sheffield United,Sheffield United,Sheffield United,
Southampton,Southampton,Southampton,
Sunderland,Sunderland,Sunderland,Sunderland
Tottenham Hotspur,Tottenham,Tottenham,Tottenham Hotspur
Watford,Watford,Watford,
West Ham United,West Ham,West Ham,West Ham United
Wolverhampton Wanderers,Wolves,Wolverhampton Wanderers,
